fecha,estado,ciudad,precio
12/1/2017,guerrero,acapulco,2754945
6/1/2018,guerrero,acapulco,2703434
12/1/2018,guerrero,acapulco,3332593
6/1/2019,guerrero,acapulco,3923325
12/1/2019,guerrero,acapulco,3913402
6/1/2020,guerrero,acapulco,4076886
12/1/2020,guerrero,acapulco,3745764
6/1/2021,guerrero,acapulco,4008468
6/1/2016,aguascalientes,aguascalientes,2093615
12/1/2016,aguascalientes,aguascalientes,1912466
6/1/2017,aguascalientes,aguascalientes,2165637
12/1/2017,aguascalientes,aguascalientes,2411950
6/1/2018,aguascalientes,aguascalientes,2871929
12/1/2018,aguascalientes,aguascalientes,3127838
6/1/2019,aguascalientes,aguascalientes,3141933
12/1/2019,aguascalientes,aguascalientes,3102368
6/1/2020,aguascalientes,aguascalientes,3034539
12/1/2020,aguascalientes,aguascalientes,2950152
6/1/2021,aguascalientes,aguascalientes,3181106
6/1/2016,ciudad_de_mexico,benito_juarez,2839661
12/1/2016,ciudad_de_mexico,benito_juarez,3930675
6/1/2017,ciudad_de_mexico,benito_juarez,3929521
12/1/2017,ciudad_de_mexico,benito_juarez,3608584
6/1/2018,ciudad_de_mexico,benito_juarez,4076104
12/1/2018,ciudad_de_mexico,benito_juarez,4534686
6/1/2019,ciudad_de_mexico,benito_juarez,4415844
12/1/2019,ciudad_de_mexico,benito_juarez,3909878
6/1/2020,ciudad_de_mexico,benito_juarez,3631518
12/1/2020,ciudad_de_mexico,benito_juarez,3890689
6/1/2021,ciudad_de_mexico,benito_juarez,3928225
6/1/2016,quintana_roo,benitojuarez,2527364
12/1/2016,quintana_roo,benitojuarez,2482943
6/1/2017,quintana_roo,benitojuarez,2884235
12/1/2017,quintana_roo,benitojuarez,3015536
6/1/2018,quintana_roo,benitojuarez,3236475
12/1/2018,quintana_roo,benitojuarez,3432487
6/1/2019,quintana_roo,benitojuarez,3492942
12/1/2019,quintana_roo,benitojuarez,3792975
6/1/2020,quintana_roo,benitojuarez,3640720
12/1/2020,quintana_roo,benitojuarez,3483849
6/1/2021,quintana_roo,benitojuarez,3682042
6/1/2018,campeche,campeche,2312542
12/1/2018,campeche,campeche,2021444
6/1/2019,campeche,campeche,2103316
12/1/2019,campeche,campeche,2638556
6/1/2020,campeche,campeche,2491771
12/1/2020,campeche,campeche,2543435
6/1/2021,campeche,campeche,2787354
6/1/2016,chihuahua,chihuahua,736131
12/1/2016,chihuahua,chihuahua,1660957
6/1/2017,chihuahua,chihuahua,2684538
12/1/2017,chihuahua,chihuahua,2787500
6/1/2018,chihuahua,chihuahua,3088545
12/1/2018,chihuahua,chihuahua,3166492
6/1/2019,chihuahua,chihuahua,3449058
12/1/2019,chihuahua,chihuahua,3817514
6/1/2020,chihuahua,chihuahua,3927735
12/1/2020,chihuahua,chihuahua,4189982
6/1/2021,chihuahua,chihuahua,4052724
6/1/2016,veracruz,coatzacoalcos,671997
12/1/2016,veracruz,coatzacoalcos,1415044
6/1/2017,veracruz,coatzacoalcos,1462060
12/1/2017,veracruz,coatzacoalcos,1740219
6/1/2018,veracruz,coatzacoalcos,2011691
12/1/2018,veracruz,coatzacoalcos,2235020
6/1/2019,veracruz,coatzacoalcos,2246492
12/1/2019,veracruz,coatzacoalcos,2431615
6/1/2020,veracruz,coatzacoalcos,2420937
12/1/2020,veracruz,coatzacoalcos,2403599
6/1/2021,veracruz,coatzacoalcos,2482311
6/1/2016,ciudad_de_mexico,cuauhtemoc,1259661
12/1/2016,ciudad_de_mexico,cuauhtemoc,2395842
6/1/2017,ciudad_de_mexico,cuauhtemoc,3718144
12/1/2017,ciudad_de_mexico,cuauhtemoc,2421589
6/1/2018,ciudad_de_mexico,cuauhtemoc,3296239
12/1/2018,ciudad_de_mexico,cuauhtemoc,4193821
6/1/2019,ciudad_de_mexico,cuauhtemoc,3863497
12/1/2019,ciudad_de_mexico,cuauhtemoc,3670166
6/1/2020,ciudad_de_mexico,cuauhtemoc,2954289
12/1/2020,ciudad_de_mexico,cuauhtemoc,3464159
6/1/2021,ciudad_de_mexico,cuauhtemoc,3754841
6/1/2016,sinaloa,culiacan,905000
12/1/2016,sinaloa,culiacan,1489909
6/1/2017,sinaloa,culiacan,1629252
12/1/2017,sinaloa,culiacan,1862976
6/1/2018,sinaloa,culiacan,2158313
12/1/2018,sinaloa,culiacan,2472944
6/1/2019,sinaloa,culiacan,2785258
12/1/2019,sinaloa,culiacan,2674511
6/1/2020,sinaloa,culiacan,2911012
12/1/2020,sinaloa,culiacan,3053837
6/1/2021,sinaloa,culiacan,3378829
6/1/2018,durango,durango,1150000
12/1/2018,durango,durango,2918856
6/1/2019,durango,durango,2045951
12/1/2019,durango,durango,2534934
6/1/2020,durango,durango,2666231
12/1/2020,durango,durango,2607291
6/1/2021,durango,durango,2577261
6/1/2018,jalisco,guadalajara,3200000
12/1/2018,jalisco,guadalajara,4119296
6/1/2019,jalisco,guadalajara,4278994
12/1/2019,jalisco,guadalajara,4133347
6/1/2020,jalisco,guadalajara,3401684
12/1/2020,jalisco,guadalajara,3041840
6/1/2021,jalisco,guadalajara,3273107
6/1/2016,ciudad_de_mexico,gustavo_a._madero,1964622
12/1/2016,ciudad_de_mexico,gustavo_a._madero,2382520
6/1/2017,ciudad_de_mexico,gustavo_a._madero,2491372
12/1/2017,ciudad_de_mexico,gustavo_a._madero,1867562
6/1/2018,ciudad_de_mexico,gustavo_a._madero,2470423
12/1/2018,ciudad_de_mexico,gustavo_a._madero,2787795
6/1/2019,ciudad_de_mexico,gustavo_a._madero,2579097
12/1/2019,ciudad_de_mexico,gustavo_a._madero,2352146
6/1/2020,ciudad_de_mexico,gustavo_a._madero,2222780
12/1/2020,ciudad_de_mexico,gustavo_a._madero,2173786
6/1/2021,ciudad_de_mexico,gustavo_a._madero,2289550
6/1/2016,sonora,hermosillo,556015
12/1/2016,sonora,hermosillo,1778223
6/1/2017,sonora,hermosillo,2230984
12/1/2017,sonora,hermosillo,2640580
6/1/2018,sonora,hermosillo,2700972
12/1/2018,sonora,hermosillo,2758958
6/1/2019,sonora,hermosillo,2722350
12/1/2019,sonora,hermosillo,3238451
6/1/2020,sonora,hermosillo,3750832
12/1/2020,sonora,hermosillo,3292278
6/1/2021,sonora,hermosillo,3666713
6/1/2016,ciudad_de_mexico,iztapalapa,2142911
12/1/2016,ciudad_de_mexico,iztapalapa,2389733
6/1/2017,ciudad_de_mexico,iztapalapa,2252319
12/1/2017,ciudad_de_mexico,iztapalapa,1865691
6/1/2018,ciudad_de_mexico,iztapalapa,2121806
12/1/2018,ciudad_de_mexico,iztapalapa,2610562
6/1/2019,ciudad_de_mexico,iztapalapa,2058358
12/1/2019,ciudad_de_mexico,iztapalapa,1976737
6/1/2020,ciudad_de_mexico,iztapalapa,1705936
12/1/2020,ciudad_de_mexico,iztapalapa,1748080
6/1/2021,ciudad_de_mexico,iztapalapa,1897052
6/1/2016,baja_california_sur,la_paz,1156502
12/1/2016,baja_california_sur,la_paz,1457280
6/1/2017,baja_california_sur,la_paz,1475342
12/1/2017,baja_california_sur,la_paz,1600181
6/1/2018,baja_california_sur,la_paz,1437438
12/1/2018,baja_california_sur,la_paz,1748862
6/1/2019,baja_california_sur,la_paz,1812920
12/1/2019,baja_california_sur,la_paz,1817763
6/1/2020,baja_california_sur,la_paz,1821411
12/1/2020,baja_california_sur,la_paz,1815541
6/1/2021,baja_california_sur,la_paz,1963689
6/1/2016,guanajuato,leon,1121099
12/1/2016,guanajuato,leon,2302446
6/1/2017,guanajuato,leon,2447509
12/1/2017,guanajuato,leon,2541315
6/1/2018,guanajuato,leon,2962810
12/1/2018,guanajuato,leon,2958405
6/1/2019,guanajuato,leon,2943809
12/1/2019,guanajuato,leon,3147652
6/1/2020,guanajuato,leon,3304575
12/1/2020,guanajuato,leon,3327745
6/1/2021,guanajuato,leon,3763088
6/1/2016,colima,manzanillo,2217056
12/1/2016,colima,manzanillo,1889478
6/1/2017,colima,manzanillo,2018851
12/1/2017,colima,manzanillo,1988725
6/1/2018,colima,manzanillo,1927275
12/1/2018,colima,manzanillo,2205530
6/1/2019,colima,manzanillo,2270043
12/1/2019,colima,manzanillo,2740551
6/1/2020,colima,manzanillo,2906883
12/1/2020,colima,manzanillo,2700732
6/1/2021,colima,manzanillo,2981250
6/1/2016,yucatan,merida,2260641
12/1/2016,yucatan,merida,2409836
6/1/2017,yucatan,merida,2508752
12/1/2017,yucatan,merida,2592906
6/1/2018,yucatan,merida,2753168
12/1/2018,yucatan,merida,2816518
6/1/2019,yucatan,merida,3042737
12/1/2019,yucatan,merida,3235249
6/1/2020,yucatan,merida,3357146
12/1/2020,yucatan,merida,3439933
6/1/2021,yucatan,merida,3576282
6/1/2016,baja_california,mexicali,444961
12/1/2016,baja_california,mexicali,546724
6/1/2017,baja_california,mexicali,1197292
12/1/2017,baja_california,mexicali,1231906
6/1/2018,baja_california,mexicali,1155685
12/1/2018,baja_california,mexicali,1437123
6/1/2019,baja_california,mexicali,1796711
12/1/2019,baja_california,mexicali,1979025
6/1/2020,baja_california,mexicali,1944231
12/1/2020,baja_california,mexicali,2041539
6/1/2021,baja_california,mexicali,2147102
6/1/2016,hidalgo,mineral_de_la_reforma,1284000
12/1/2016,hidalgo,mineral_de_la_reforma,900069
6/1/2017,hidalgo,mineral_de_la_reforma,1405498
12/1/2017,hidalgo,mineral_de_la_reforma,1206805
6/1/2018,hidalgo,mineral_de_la_reforma,1245613
12/1/2018,hidalgo,mineral_de_la_reforma,1286587
6/1/2019,hidalgo,mineral_de_la_reforma,1466069
12/1/2019,hidalgo,mineral_de_la_reforma,1221283
6/1/2020,hidalgo,mineral_de_la_reforma,1406537
12/1/2020,hidalgo,mineral_de_la_reforma,1453468
6/1/2021,hidalgo,mineral_de_la_reforma,1338427
6/1/2016,nuevo_leon,monterrey,4938395
12/1/2016,nuevo_leon,monterrey,5027156
6/1/2017,nuevo_leon,monterrey,5777659
12/1/2017,nuevo_leon,monterrey,5242743
6/1/2018,nuevo_leon,monterrey,4611970
12/1/2018,nuevo_leon,monterrey,4700871
6/1/2019,nuevo_leon,monterrey,4887658
12/1/2019,nuevo_leon,monterrey,5302138
6/1/2020,nuevo_leon,monterrey,4647177
12/1/2020,nuevo_leon,monterrey,5245647
6/1/2021,nuevo_leon,monterrey,6174062
12/1/2017,michoacan,morelia,720000
6/1/2018,michoacan,morelia,3335000
12/1/2018,michoacan,morelia,2950498
6/1/2019,michoacan,morelia,3376841
12/1/2019,michoacan,morelia,3675915
6/1/2020,michoacan,morelia,3017197
12/1/2020,michoacan,morelia,2873267
6/1/2021,michoacan,morelia,3053354
6/1/2016,nayarit,nayarit,1839606
12/1/2016,nayarit,nayarit,1825081
6/1/2017,nayarit,nayarit,1679435
12/1/2017,nayarit,nayarit,2012027
6/1/2018,nayarit,nayarit,2139430
12/1/2018,nayarit,nayarit,2311150
6/1/2019,nayarit,nayarit,2488938
12/1/2019,nayarit,nayarit,2443473
6/1/2020,nayarit,nayarit,2510201
12/1/2020,nayarit,nayarit,2309867
6/1/2021,nayarit,nayarit,2637297
6/1/2016,oaxaca,oaxaca,1971191
6/1/2016,oaxaca,oaxaca,378082
12/1/2016,oaxaca,oaxaca,2053399
12/1/2016,oaxaca,oaxaca,1875047
6/1/2017,oaxaca,oaxaca,2565872
6/1/2017,oaxaca,oaxaca,2045685
12/1/2017,oaxaca,oaxaca,1952327
12/1/2017,oaxaca,oaxaca,2908420
6/1/2018,oaxaca,oaxaca,2176212
6/1/2018,oaxaca,oaxaca,2995804
12/1/2018,oaxaca,oaxaca,2406665
12/1/2018,oaxaca,oaxaca,2937480
6/1/2019,oaxaca,oaxaca,2659535
6/1/2019,oaxaca,oaxaca,3548477
12/1/2019,oaxaca,oaxaca,3817727
12/1/2019,oaxaca,oaxaca,2778285
6/1/2020,oaxaca,oaxaca,2674838
6/1/2020,oaxaca,oaxaca,3669411
12/1/2020,oaxaca,oaxaca,3025467
12/1/2020,oaxaca,oaxaca,4223084
6/1/2021,oaxaca,oaxaca,3057312
6/1/2021,oaxaca,oaxaca,4458095
6/1/2016,puebla,puebla,1407536
12/1/2016,puebla,puebla,2594529
6/1/2017,puebla,puebla,2696996
12/1/2017,puebla,puebla,2840169
6/1/2018,puebla,puebla,2822779
12/1/2018,puebla,puebla,2843053
6/1/2019,puebla,puebla,2940480
12/1/2019,puebla,puebla,2950824
6/1/2020,puebla,puebla,3011566
12/1/2020,puebla,puebla,3145248
